Date,DZ,AO,AR,AU,AT,AZ,BH,BE,BO,BR,BN,BG,CA,CL,CO,CR,HR,CZ,DK,DO,EC,FI,FR,GA,DE,GR,HU,IN,IR,IE,JM,JP,KR,LT,MX,MA,NL,NZ,NI,NG,NO,OM,PG,PE,PH,PL,PT,QA,RO,RU,SA,SK,ZA,ES,SE,CH,TW,TH,TT,TN,TR,UA,AE,GB,US,UY,VE
2014-01-01T00:00:00Z,61.70265780730897,665.7619047619048,20.681802231225024,19.29341626924813,26.88118544942414,16.30411923233073,,8.30606985147856,,12.592554720344832,220.59259709211764,22.78098324881975,43.194214488283556,17.45478068586308,6.123671103319225,,140.4893096029184,64.53654372561144,20.268334847460437,33.33617741369324,54.251612903225805,43.62586620608002,48.465077589317936,,83.51189920798262,17.818935513714464,54.54605579088244,6.995699004398761,,10.996913184970516,13.431919860708792,118.07123609115395,44.32346169057621,12.135908090417265,17.945352871108366,19.07214892114475,25.240635416215667,22.651582880593622,39.124021021435944,150.0,57.29215660569569,5.173150017704452,24.335944022259884,11.294609652933492,21.290424091406493,73.47128112028504,36.59321630034644,35.63428571428572,25.97863213687139,,139.25085910652922,38.602281639564474,17.55315540097517,36.331022195978285,22.217573381344256,3.809680453857186,27.114348466014057,16.67012066454613,12.923673323209671,16.90909942409947,101.93839972764636,15.35096877683338,,24.032089896825823,67.41575696190905,55.818869130823096,20.83853083853084
2014-02-01T00:00:00Z,63.64262295081967,326.9756097560976,20.144887666208163,21.01863239087871,25.03214089912281,14.541752388351258,,7.323648865878117,,13.350781213458077,328.65603048718833,21.00000417607431,41.496219629549046,21.227133394624072,4.581251684203519,,128.25279668698215,59.09977183899646,29.594184645172025,22.93655968342869,60.794520547945204,33.42246106941181,46.31697873132419,,84.01449389327561,19.625885174180357,51.010186265479625,7.449499120467102,,15.039527564957954,24.520438844931558,119.04736861129184,45.67489665808935,8.962123355150853,18.48356073113607,13.93236830785224,17.059628914983474,23.37315806976806,31.33189475491637,15.053191489361701,55.95932211404893,4.0045400286275274,13.857142857142858,6.577319587628866,17.657342657342657,75.95034511896735,31.55172786361336,14.511210762331839,24.713936927177425,,166.03154205607476,39.15290712291887,23.000000715535254,33.37189376734389,23.52658888999748,4.561642813963154,27.36029131050678,23.02024554934818,30.026146000226287,27.588256483082937,85.7148550894867,20.43244053101042,,26.97877720356338,68.83081098106192,31.409098993620386,17.835486063902106
2014-03-01T00:00:00Z,59.984482758620686,304.8285714285714,27.24484162937122,21.795149050705252,32.009224857552354,14.975564935694786,,7.069295815426888,,11.314500941619587,369.64359428724686,596.7540382020521,48.26863200734449,17.427465320416292,5.385816559001016,,259.923309789507,59.42436107806384,22.14039008233202,23.149081858318066,67.18045112781955,26.1995750046724,48.049678895912955,,89.13929091060719,22.686123464604936,46.78550778009928,7.3068569086763455,,16.749118428748947,27.437210736043312,125.56435169422222,46.436955452954344,16.092139001216886,16.106672592737205,11.677367525081458,20.577269184741642,28.410027401157183,,81.38805970149254,60.41438383636893,3.948421861931329,36.25526367661392,11.100098420698782,40.14297562127722,75.16815413746902,36.164225846010396,12.534798534798535,27.972934897871884,,145.87221095334687,40.39950409783993,26.939111533158545,32.11679704911749,22.774213901800653,8.102604723003157,29.747106236965333,21.772342328741225,36.51953122295983,24.27973756993563,90.99095468167776,20.26072547420896,,24.523236722601787,69.52460467796662,89.37077827233648,20.14783821478382
2014-04-01T00:00:00Z,56.15593220338983,591.8571428571429,22.77258242895275,22.88717558946211,50.70812049278846,34.96690326047813,,6.748957992325868,,10.435690547375707,151.08339979763014,22.07824847236204,51.93491056178371,20.25873310253979,6.883315873040911,,113.46153923747592,54.304488027253655,24.98941125593594,33.801714199314475,80.71126760563381,35.77610927756212,48.070752688269096,,81.72323410810992,19.229644614782536,38.030242105971624,7.587617179803227,,13.048413131708923,21.44907872180954,129.9597975022811,50.20121453761888,9.984002497860175,15.299706847839229,31.59136551097676,17.57031045999857,21.318941522048714,38.973492155156926,11.8375,54.686201038338666,4.2622949039168425,22.930478976007723,14.136212146840577,15.412737457312208,72.44319843879988,60.01237599747849,10.96028880866426,30.11166822621394,,153.26187904967603,39.25861309761564,27.985739548099307,33.828745018761374,19.712821879827516,4.395210149954725,38.11563574674855,19.50644985489567,29.772257199056515,25.2272746131187,87.19583376284483,20.043655318190684,,23.58350635875595,66.73254772336772,86.487724408662,19.463315217391305
2014-05-01T00:00:00Z,59.3526405451448,931.5882352941177,19.55882980601303,27.59463406136347,29.915205046480896,23.575621820009708,,6.244886448150506,,13.020720053829132,1183.1806359611178,12.998337512191094,46.260689384741866,15.786685322032863,5.789559580504369,,107.14440980037536,51.61099670455746,24.67181680260227,26.475082313483966,71.1159420289855,36.464396698401515,52.83987526283717,,89.46293512246324,17.749823633726752,43.40887807535515,9.442375654797715,,19.944475889784197,17.57684381549448,147.37676045914466,49.83276867124239,13.396251748195196,19.587473244516847,23.98452279273016,19.516306136143026,22.242192884817527,,31.83625730994152,45.576766043847336,5.757141041705367,15.499982299100592,12.13442203429268,23.72372504469915,82.65563367089811,22.861428754551323,12.508695652173913,29.615118432039814,,131.46067415730337,72.7280234695059,21.053863282043164,31.863605768397175,23.298502988843925,5.208733411328193,34.5094336914263,21.943999459792625,29.03824540916604,24.340747582089797,94.30609068598986,19.67526596500535,,24.70960117978832,66.25247029043298,79.50652680375903,19.58008356545961
2014-06-01T00:00:00Z,66.02044293015332,387.2439024390244,16.27233029032754,25.56254727448524,30.667682104316548,23.327995035830526,2.409746970846829,6.006728910755858,,9.95316434732887,361.29966861696556,11.937500374053709,42.49954950685148,20.77235773295601,,,130.75213093402306,53.83710299805997,25.842385959554935,12.872452064281893,53.55974842767296,36.726790964238475,49.12112179040721,,98.71582414884992,16.098027064361087,39.29539756410072,8.34638605592743,,21.496148907097297,12.302700417168424,166.73334332862353,48.50691688410313,12.18085022049305,18.02500823371863,14.60227183163573,23.7448640622394,19.842530061650823,,52.824561403508774,71.60825860015493,3.5271317655276193,7.741926103629392,10.631201326482975,22.556635447005412,79.01349608457505,30.542330727911203,12.768382352941176,65.61257455792885,,135.94744525547446,81.68794673252665,22.596684857909917,30.960198534046672,21.394392925597327,4.664221594986992,33.72505433343193,21.374459410969816,14.142997273070531,20.07354715631282,101.10891751355078,17.419364679001617,,27.93890048062895,66.08441471724709,71.43576688913942,20.173192771084338
2014-07-01T00:00:00Z,69.1304347826087,970.2692307692307,18.92488196185167,22.94485343628198,31.76937001281599,20.68303789207555,2.4767337181331976,6.182793200173572,,10.507091206230726,161.74515729208497,11.045277104436044,45.56268875282344,23.064991217985135,6.098156606832848,,101.99688588355384,50.162890252645305,23.91216344516716,22.813356124812007,70.71544715447155,32.07753369093067,45.457112721445654,,89.71974979911238,18.57976627955774,39.405330601461436,8.960786897720709,,1413.396891446684,12.712799433780836,141.99766749976533,44.22053892823179,8.561455052894102,20.23591629081867,23.578798408437507,21.570736881268765,31.96173771158678,,189.73170731707316,56.1621650010277,6.763635522662237,3.2916666666666665,9.101350220051193,23.779390420899855,71.13560420198735,29.99407700958017,10.85763888888889,39.25367334262055,,149.16240208877284,46.8286641340294,22.1823048979762,31.390676918329692,23.444774810309948,5.05648498167332,28.74169083166094,22.93516183841485,9.149216549260302,17.395667899511306,82.51966413889276,17.207054667238747,,24.002707159099483,62.27657569617604,63.43609682451586,19.178902352102636
2014-08-01T00:00:00Z,63.85886402753873,739.741935483871,20.010758345264037,23.463290277828452,36.08980807107953,21.245461969126808,2.501754481181285,6.441479426416104,,10.395640330984659,174.18044271502185,11.53488639669274,42.954608824551066,21.765136286132623,4.800674241264592,,117.56839737995136,50.014590465186316,25.63523269573303,28.19438162259602,68.1304347826087,33.54199838470872,42.395900417346134,,79.35035520336561,15.912228419057026,54.951058807808664,8.09394183028693,,20.770760195189727,369.0,133.46490313552255,44.0785201427902,6.506174572775722,22.24663478734026,15.233678295877752,20.020815690615464,30.155240533684825,,1150.8,61.03278583043599,5.01938403288702,24.028086866018192,10.434525041382605,19.291994763116158,67.5331876522415,27.269274831574467,9.596666666666666,37.81423849605781,,131.77941855099215,36.23186144354269,29.851855021375457,27.88445228772857,18.561241140549775,4.65082444729718,30.36194728878494,17.950591845437625,17.047763177635293,59.067486401537785,76.98586303741722,18.70465512529035,,26.387066936125176,62.09149018320771,40.678690200044414,19.78072837632777
2014-09-01T00:00:00Z,65.70777027027027,,23.018997076026086,26.573618389218275,29.8035113383059,23.046351094446972,2.4434385650690027,6.329690144678534,,12.42994165391077,630.0214777161711,12.12245236093052,48.67066507731748,16.600000558834047,4.985288064009179,,30.000006249099915,61.29064880736965,20.896865556191926,16.392460624838627,65.65546218487395,36.62751119481325,44.56655405709868,,83.15329958558532,19.31341754381475,43.80919823362876,8.81120534849977,,24.211052395795953,,130.8470521676654,47.21524317962189,7.187949533977225,20.362556056586726,19.193091307992738,16.46824841336154,33.16695514541847,,1006.3333333333334,72.23600000357891,5.1543614536984,28.32777496262391,7.728398347706797,27.316937768190925,71.11558889912958,33.895297390438266,6.207142857142857,32.14063827355453,,144.73071253071254,36.05505003769911,27.611938850267617,34.80708913625436,19.584482284582183,4.30280585006219,27.795904700793123,19.206604435232244,16.497844285049297,22.207810372670142,76.55358862557341,92.55346132412579,,25.412936090451907,63.65284474445516,32.11270325606021,17.76502363268062
2014-10-01T00:00:00Z,59.45990180032733,711.5,20.88279268062655,24.26493382080679,30.382720034537684,22.240268422557016,2.6036747906415116,6.068996475183926,,12.753748517079504,258.7427520979253,7.960219092795627,53.40859707526278,22.739004925224613,3.3676081890576346,,114.97958734329173,56.82640636921512,23.043560617079915,18.57790576084819,152.25396825396825,38.69816680128948,44.02797730019873,,83.29444001149979,16.527856668285764,46.13605628482387,8.763752299745772,,16.549691536873645,27.56712397478694,145.53733842455622,46.54828830660042,6.112675803929937,25.567695350819356,8.891948673676563,15.503441687891815,24.991773528888373,,140.60377358490567,57.61428094659875,4.070022597879025,105.58462997974718,9.74957211281023,34.52365874127729,74.96926991982865,26.19566974105363,4.058608058608058,35.05793883519104,,146.20329936923824,36.66960821733727,27.610041183163744,32.274716654341056,18.76674651427547,4.247146330185324,28.787470595812785,22.66182386207937,11.512504299895443,17.999999007881094,73.25494046172416,19.508630878505407,,23.847044617173502,67.87844622817592,48.51728538170058,20.085463842220598
